iter	RMSE
644	7213.459952
645	7204.27219
646	7202.027302
647	7192.45998
648	7187.758606
649	7183.157815
650	7173.003474
651	7165.306984
652	7161.035874
653	7156.046114
654	7151.186219
655	7146.6514
656	7142.11505
657	7139.828513
658	7136.39224
659	7123.837323
660	7121.302497
661	7116.187006
662	7111.216008
663	7108.519313
664	7098.810868
665	7089.55792
666	7083.315575
667	7072.174784
668	7067.276863
669	7060.927772
670	7058.906274
671	7053.899344
672	7049.086559
673	7037.851553
674	7033.278644
675	7023.998108
676	7017.828659
677	7011.56633
678	7003.063457
679	6996.721876
680	6989.074587
681	6983.759871
682	6978.260062
683	6971.7885
684	6969.995209
685	6967.487066
686	6965.244542
687	6958.997597
688	6952.58839
689	6947.994816
690	6942.849708
691	6932.700625
692	6927.659376
693	6921.588109
694	6918.048792
695	6908.538742
696	6904.550513
697	6900.617997
698	6895.945152
699	6890.810625
700	6885.271308
701	6874.924915
702	6871.352113
703	6864.74018
704	6860.156818
705	6852.551292
706	6848.817452
707	6843.925134
708	6839.686908
709	6837.945207
710	6830.817969
711	6829.31806
712	6823.987327
713	6820.316984
714	6812.092034
715	6808.593923
716	6804.399961
717	6800.933463
718	6796.997895
719	6790.069065
720	6783.067617
721	6778.805083
722	6773.956849
723	6767.518778
724	6766.119651
725	6761.787558
726	6758.163773
727	6755.022132
728	6751.506581
729	6747.372956
730	6743.560792
731	6738.506441
732	6733.193921
733	6728.371408
734	6721.828243
735	6718.674125
736	6712.763736
737	6709.048362
738	6707.062399
739	6702.371783
740	6698.720663
741	6694.848596
742	6692.952449
743	6689.377088
744	6683.908441
745	6677.992045
746	6673.364157
747	6668.732241
748	6663.582253
749	6660.590682
750	6655.192874
751	6650.170463
752	6648.120901
753	6644.739162
754	6640.497643
755	6637.212458
756	6634.538742
757	6631.893837
758	6629.456428
759	6627.893727
760	6624.146675
761	6622.052626
762	6618.088252
763	6613.088108
764	6611.807942
765	6607.465689
766	6605.087766
767	6600.78911
768	6597.050581
769	6591.584316
770	6585.601654
771	6582.316425
772	6577.519055
773	6572.69082
774	6568.601115
775	6563.237267
776	6560.17983
777	6552.378219
778	6546.112383
779	6542.147452
780	6538.464454
781	6536.233807
782	6530.165511
783	6526.160911
784	6518.855932
785	6515.867655
786	6510.93325
787	6505.915953
788	6501.539181
789	6498.539117
790	6496.972229
791	6485.882329
792	6481.236854
793	6478.751602
794	6476.331464
795	6471.743448
796	6468.72227
797	6463.738822
798	6457.123491
799	6454.509626
800	6449.951564
801	6448.477264
802	6442.820198
803	6436.535188
804	6432.032024
805	6430.441386
806	6428.149075
807	6424.414564
808	6420.08602
809	6413.303007
810	6408.836453
811	6402.101727
812	6399.866317
813	6395.480531
814	6387.339357
815	6385.997965
816	6381.655518
817	6377.886357
818	6373.89764
819	6368.902004
820	6364.29717
821	6361.868575
822	6359.154089
823	6356.374405
824	6355.120983
825	6350.017727
826	6346.731546
827	6342.684712
828	6337.75409
829	6332.151754
830	6331.288721
831	6327.129592
832	6318.889053
833	6315.967184
834	6307.821373
835	6299.649872
836	6296.043962
837	6290.18925
838	6286.022715
839	6282.900153
840	6278.128329
841	6274.011131
842	6272.261596
843	6268.650697
844	6265.84263
845	6262.999191
846	6260.075941
847	6259.456331
848	6252.867641
849	6249.149632
850	6241.427309
851	6237.932265
852	6236.652817
853	6231.063283
854	6228.355259
855	6224.025058
856	6217.062061
857	6212.852406
858	6211.367644
859	6207.3034
860	6201.289609
861	6198.130316
862	6195.334208
863	6192.648133
864	6187.824516
865	6178.695516
866	6174.125468
867	6170.709739
868	6167.865418
869	6163.079852
870	6158.995306
871	6156.25914
872	6154.502701
873	6149.628892
874	6147.296489
875	6142.089213
876	6135.453417
877	6129.027722
878	6123.734714
879	6119.316203
880	6117.014685
881	6113.984139
882	6111.926796
883	6107.689483
884	6105.549153
885	6101.652255
886	6097.986338
887	6096.712168
888	6093.195972
889	6085.699968
890	6077.51223
891	6075.948902
892	6068.872083
893	6066.849461
894	6065.956486
895	6062.668143
896	6059.539557
897	6055.369393
898	6046.329097
899	6036.073133
900	6034.238652
901	6031.364912
902	6025.560668
903	6020.410669
904	6015.86688
905	6013.663734
906	6012.244958
907	6007.778879
908	6001.960629
909	5999.642849
910	5995.407375
911	5989.09078
912	5984.458236
913	5981.367318
914	5978.102653
915	5974.808762
916	5969.166185
917	5966.359318
918	5963.621029
919	5954.935062
920	5948.525814
921	5943.318815
922	5941.653888
923	5936.623674
924	5932.321852
925	5928.650154
926	5925.156625
927	5923.905483
928	5921.656055
929	5916.97687
930	5912.0054
931	5909.940385
932	5906.306951
933	5901.358581
934	5896.744156
935	5892.288208
936	5887.596051
937	5882.688518
938	5876.645006
939	5873.732973
940	5868.700557
941	5865.567711
942	5860.658152
943	5859.384535
944	5856.732184
945	5853.341745
946	5849.78355
947	5845.027768
948	5842.823721
949	5838.356336
950	5835.470052
951	5830.614686
952	5826.249484
953	5825.367107
954	5823.864729
955	5821.120129
956	5816.634203
957	5814.381432
958	5813.561807
959	5809.060593
960	5805.766734
961	5802.641773
962	5799.108698
963	5795.774076
964	5793.022923
965	5791.604517
966	5785.095792
967	5778.951827
968	5777.100778
969	5771.822308
970	5769.340163
971	5766.736769
972	5763.415492
973	5760.691547
974	5758.142046
975	5755.73368
976	5752.478142
977	5747.528097
978	5741.926656
979	5734.626034
980	5731.493687
981	5729.156956
982	5723.665799
983	5717.791226
984	5714.273096
985	5711.25027
986	5710.174244
987	5705.192307
988	5700.458131
989	5696.590329
990	5694.459395
991	5687.738148
992	5686.115091
993	5684.562289
994	5676.122329
995	5672.937923
996	5668.256722
997	5665.048402
998	5664.534249
999	5663.18385
